Nombre Streamer,Month Year,Total Subs,Subs Type Prime,Subs Type Tier 1($4.99),Subs Type Tier 2($9.99),Subs Type Tier 3($24.99),Subs Type Unlisted,Subs Type Gifted
XQC,September 2022,29828,12906,8930,38,41,7913,1125
XQC,August 2022,77180,31232,19156,91,161,26540,2624
XQC,July 2022,82051,34694,23544,112,87,23614,4611
XQC,June 2022,84713,34231,23081,122,88,27191,4656
XQC,May 2022,94120,38263,25592,130,103,30032,5742
XQC,April 2022,98230,44842,27471,153,117,25647,5057
XQC,March 2022,84412,36654,25448,157,107,22046,4308
XQC,February 2022,83719,33032,23789,142,88,26668,3628
XQC,January 2022,88296,38059,26956,157,107,23017,4665
XQC,December 2021,95699,43471,30383,191,150,21504,6381
XQC,November 2021,84012,37007,26034,304,153,20514,6248
XQC,October 2021,78294,32701,22934,92,93,22474,4519
XQC,September 2022,29828,12906,8930,38,41,7913,1125
XQC,August 2022,77180,31232,19156,91,161,26540,2624
XQC,July 2022,82051,34694,23544,112,87,23614,4611
XQC,June 2022,84713,34231,23081,122,88,27191,4656
XQC,May 2022,94120,38263,25592,130,103,30032,5742
XQC,April 2022,98230,44842,27471,153,117,25647,5057
XQC,March 2022,84412,36654,25448,157,107,22046,4308
XQC,February 2022,83719,33032,23789,142,88,26668,3628
XQC,January 2022,88296,38059,26956,157,107,23017,4665
XQC,December 2021,95699,43471,30383,191,150,21504,6381
XQC,November 2021,84012,37007,26034,304,153,20514,6248
XQC,October 2021,78294,32701,22934,92,93,22474,4519
XQC,September 2021,71375,28251,21907,112,80,21025,4295
XQC,August 2021,79207,36162,24122,138,82,18703,4313
XQC,July 2021,63108,27617,17976,123,116,17276,2703
XQC,June 2021,76898,34596,24124,137,112,17929,5291
XQC,May 2021,80674,39348,22629,164,107,18426,4654
XQC,April 2021,76046,39726,25280,165,140,10735,7325
XQC,March 2021,67546,35450,22950,151,125,8870,7890
XQC,February 2021,55512,28468,16883,134,85,9942,5487
XQC,January 2021,58683,33906,17292,138,103,7244,4350
XQC,December 2020,63372,34691,20533,146,103,7899,7502
XQC,November 2020,52747,28723,16963,130,87,6844,5790
XQC,October 2020,55767,30646,18398,145,79,6499,7454
XQC,September 2020,51248,26428,16280,121,98,8321,6314
XQC,August 2020,42114,22607,11859,128,68,7452,3607
XQC,July 2020,49445,24166,17282,81,67,7849,8903
XQC,June 2020,40009,19498,13914,71,52,6474,6553
XQC,May 2020,41355,20331,14296,74,41,6613,7194
XQC,April 2020,54762,31057,14173,90,51,9391,6248
XQC,March 2020,36163,19349,10488,73,35,6218,4028
XQC,February 2020,34598,17442,11469,48,34,5605,5637
XQC,January 2020,35141,19266,9620,71,45,6139,3424
XQC,December 2019,39021,20904,11441,68,51,6557,5139
XQC,November 2019,33809,18076,9813,57,48,5815,3768
XQC,October 2019,31797,16057,10337,56,53,5294,4445
XQC,September 2019,33869,15726,12624,56,46,5417,5873
XQC,August 2019,27531,18423,8246,57,53,752,2991
XQC,July 2019,26162,16244,9118,73,43,684,4339
XQC,June 2019,24114,15935,7334,72,48,725,2791
XQC,May 2019,22559,15248,6497,75,54,685,1917
XQC,April 2019,20366,13623,6032,67,35,609,1906
XQC,March 2019,21711,14590,6351,76,46,648,2190
XQC,February 2019,27107,18179,7888,127,68,845,1759
XQC,January 2019,21279,10887,7583,83,54,2672,3392
XQC,December 2018,19450,9854,7063,75,49,2409,3384
XQC,November 2018,16993,9289,5344,69,44,2247,2084
XQC,October 2018,16216,8944,4986,73,39,2174,1617
XQC,September 2018,16600,8845,5920,93,56,1686,2264
XQC,August 2018,15891,8897,4738,67,55,2134,1811
XQC,July 2018,13023,8112,2825,63,52,1971,0
XQC,June 2018,8542,4999,2147,56,48,1292,0
XQC,May 2018,8871,4743,2689,62,34,1343,0
XQC,April 2018,9104,4955,2689,56,38,1366,74
XQC,March 2018,11867,7215,2731,85,58,1775,143
XQC,February 2018,7439,4277,1949,59,51,1103,131
XQC,January 2018,7475,4115,2137,69,48,1106,141
XQC,December 2017,6215,3280,1937,50,44,904,206
XQC,November 2017,4939,2764,1362,40,48,725,91
XQC,October 2017,4070,2164,1223,37,36,610,0
